frontUserName,content,createTime,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
1****6,已经囤货好几个了，真心好用，包裹的效果特别好，就是稍许厚了些，夏天用估计会闷热。,1559616965466,,5,,5,1616018,黑色,75B
鱼****果,不是很舒服呢，聚拢的有点儿难受,1572929579719,,5,,5,1616018,黑色,80A
1****8,还没有穿，但是感觉这个衣服挺紧的，应该是偏小看之前评价也是偏小。,1564670389018,,6,,5,1616018,黑色,80C
唐****艳,买了一个试了一下，聚拢效果特别好，穿起来也舒服，毫不犹豫的再买一件另外的颜色,1561127902262,,3,,5,1616018,深杏色,75C
Z****S,之前买了一个，拿到后立即回购四个，可见多么好！穿过这个旧的都可以扔了！,1557407237438,,6,,5,1616018,深杏色,85C
1****8,这款内衣不错，上次买没我的码买大了一码这次终于买到合适的了,1560857180711,,5,,5,1616018,深杏色,75A
张****摆,罩杯有点外翘，挤一下,1571028002582,,5,,5,1616018,黑色,85B
1****2,严选，品质保证，性价比高，服务快，很满意的，一入严选深似海，值得的！！！,1568549596134,,6,,5,1616018,黑色,85C
复****柔,"做工非常好，全新原装机，非常喜欢，G的CPU果然是快。,没想到，严选无条件给换啦，呵呵",1557133787605,,6,,5,1616018,黑色,75B
蝶****花,是我穿过的最舒服的文胸，聚拢效果好，不空杯，弹性好，这个颜色很有格调，准备再入手一件。,1560402303258,,5,,5,1616018,深杏色,85B
蝶****花,是我穿过的最舒服的文胸，聚拢效果好，不空杯，弹性好，准备再入手一件。,1560402254239,,5,,5,1616018,黑色,85B
徐****年,商品质量非常好 揉揉的 软软的 家里人很喜欢 感谢严选 下次还会回购的 也会推荐朋友购买,1557144568397,,6,,5,1616018,深杏色,80A
1****0,多次购买了，喜欢喜欢，一直相信严选，C杯是薄的，AB是厚的，买的时候看好了,1555802368871,,6,,5,1616018,深杏色,85C
1****0,多次购买了，喜欢喜欢，一直相信严选，C杯是薄的，AB是厚的，买的时候看好了,1555802354476,,6,,5,1616018,黑色,85C
B****n,内衣尺码合适，无钢圈设计很好的保护了身体，很舒服，拍在购物车坐等降价再入手，哈哈哈,1556434103650,,4,,5,1616018,深杏色,85C
1****4,"平时75c,看评论选了80c，还是应该按照平时码买的，有点大。料子不错叩紧点能穿",1557807653958,,5,,5,1616018,深杏色,80C
C****藝,下水后有一股刺鼻的气味，像似胶烧焦后的气味，实在太难受了，试问这样能穿在身上吗？我也算是严选忠诚粉了，这次真让人失望了,1569993769183,,3,,2,1616018,黑色,75A
1****6,确实很聚拢，也不厚…平时穿80B、85B（80B居多）这次买的85B，很合适。,1557971335859,,5,,5,1616018,深杏色,85B
1****6,确实很聚拢，也不厚…平时穿80B、85B（80B居多）这次买的85B，很合适。,1557971333626,,5,,5,1616018,黑色,85B
1****7,质量不错，唯一的遗憾是鞋子偏瘦,1569330013120,,3,,5,1616018,黑色,75A
1****7,买了个黑色的，洗了两遍了，文胸还是有点气味的，晾一段时间再用,1568684909319,,4,,5,1616018,黑色,80C
z****3,买贵了，买贵了买贵了，买贵了买贵了买贵了，哭了,1568881626757,,4,,3,1616018,黑色,80C
